label,message
ham,Hey! Are we still meeting for lunch today?
ham,I'll call you later.
spam,Congratulations! You've won a $500 gift card. Reply NOW!
spam,URGENT! Your account has been suspended. Click the link to verify.
ham,Don't forget to bring the documents tomorrow.
ham,Happy birthday! Wish you all the best.
spam,Win a FREE vacation to Bahamas! Text WIN to 90099.
spam,You have been selected for a free prize. Call now!
ham,Please find the attached report.
ham,Can you send me the photos from yesterday?
spam,Limited time offer!!! Buy 1 Get 1 FREE!!!
spam,Claim your lottery winnings now!
ham,"Dinner was great, letâ€™s do it again sometime."
spam,FREE entry to the contest. Click here to participate.
ham,The meeting starts at 3 PM in conference room A.
ham,I'll be there in 10 mins.
spam,Congratulations! You have been pre-approved for a loan.
spam,Lowest prices on medicines guaranteed. Order now.
ham,What time is your flight today?
ham,Your package has been shipped.
spam,Reply YES to claim your $1000 cash prize.
spam,You won 2 movie tickets! Call 0800-111-222 now.
ham,Good morning! Have a productive day ahead.
ham,Can you email me those files?
spam,Free ringtone subscription. Text SUB to 77889.
spam,Final notice: Your bill is overdue. Pay immediately.
ham,Let's catch up over coffee this weekend.
ham,Your appointment is scheduled for 5 PM on Friday.
spam,Earn money from home! No experience required.
spam,Exclusive offer: Get a credit card with no annual fee.
ham,Where should we go for dinner tonight?
ham,I'll drop by the office later today.
spam,Get your free trial today! No credit card required.
spam,Cheap medicines available online. Order now!
ham,Mom says hi!
ham,Are you watching the game tonight?
spam,Free coupons waiting! Check your account now.
spam,Limited seats available! Register for the webinar.
ham,Please update the spreadsheet before our meeting.
ham,Let's study together for the exam tomorrow.
